iter	MultiClass
0	1.090853584
1	1.081883988
2	1.075239141
3	1.069804472
4	1.060612793
5	1.054585589
6	1.047311412
7	1.041427598
8	1.03403937
9	1.028310152
10	1.020751628
11	1.01290915
12	1.00445618
13	1.000052875
14	0.993422595
15	0.9858698537
16	0.9805584828
17	0.9744623358
18	0.9658404208
19	0.9580988708
20	0.9497621116
21	0.9414354855
22	0.9356024167
23	0.931820666
24	0.9270636143
25	0.9198064817
26	0.9145932495
27	0.9078101028
28	0.900289268
29	0.8934816249
30	0.8886935182
31	0.881659094
32	0.8757784005
33	0.8710242663
34	0.864908926
35	0.8585941906
36	0.8518088632
37	0.8460712159
38	0.840896023
39	0.8328350689
40	0.8280400048
41	0.8224203931
42	0.814473115
43	0.8089465697
44	0.8027492092
45	0.7973162559
46	0.7914206941
47	0.7866940182
48	0.7827257505
49	0.7781821838
50	0.7717962797
51	0.7680103158
52	0.7649705781
53	0.7601722745
54	0.7559690962
55	0.7509166043
56	0.7452976048
57	0.741145324
58	0.7374499582
59	0.7338569426
60	0.7293833292
61	0.7239352928
62	0.7193451228
63	0.7153504828
64	0.7107713616
65	0.7061483767
66	0.7014609869
67	0.6976477352
68	0.6929231228
69	0.6877753993
70	0.6846039065
71	0.6798506071
72	0.6767860264
73	0.6737082382
74	0.670200103
75	0.6663141582
76	0.6604849852
77	0.6567216913
78	0.6528161392
79	0.6483903469
80	0.6427693287
81	0.6385508587
82	0.6354286077
83	0.6319862441
84	0.627726561
85	0.623979593
86	0.6204421312
87	0.6163474667
88	0.6123639293
89	0.6071047142
90	0.6041814085
91	0.6012736815
92	0.5983639915
93	0.5943100082
94	0.5908283634
95	0.5874514995
96	0.5835122355
97	0.5804783574
98	0.5763331195
99	0.5727095394
100	0.5691301782
101	0.5653182908
102	0.5622324159
103	0.5572950583
104	0.5526050781
105	0.5493531001
106	0.5459256121
107	0.5423717103
108	0.538654025
109	0.5352786943
110	0.532584891
111	0.5304594344
112	0.5264418737
113	0.5227021583
114	0.5195067888
115	0.5156399988
116	0.5122916475
117	0.5094436996
118	0.5066755711
119	0.5037333159
120	0.5002541376
121	0.4966027608
122	0.4924332989
123	0.4890570084
124	0.4864799306
125	0.4832090546
126	0.4810479551
127	0.4782548285
128	0.4744154949
129	0.4705212774
130	0.4669662761
131	0.4643746002
132	0.4615405669
133	0.4587320434
134	0.4553221687
135	0.4514952013
136	0.4487432986
137	0.4454720954
138	0.4421182659
139	0.438790962
140	0.4356431147
141	0.4324570884
142	0.4293726544
143	0.4262033004
144	0.4232148776
145	0.4196932568
146	0.4168261246
147	0.4142845772
148	0.4107831879
149	0.4074895153
150	0.4048603902
151	0.4018385052
152	0.3989775144
153	0.3956846483
154	0.3930754011
155	0.3904389878
156	0.3869092566
157	0.3843697271
158	0.3819629498
159	0.3796642864
160	0.3775250563
161	0.3749870539
162	0.3725984889
163	0.3696536396
164	0.3666734215
165	0.3638294368
166	0.36158503
167	0.3583670264
168	0.3559576396
169	0.3531341846
170	0.3505650308
171	0.3488102317
172	0.3463157303
173	0.3434954361
174	0.3415546876
175	0.3396018138
176	0.3373751859
177	0.3350905591
178	0.3327763187
179	0.3302450637
180	0.3283379932
181	0.3257602535
182	0.323477159
183	0.3213960594
184	0.319065745
185	0.3165603597
186	0.31458276
187	0.3120550532
188	0.3104131943
189	0.3085499478
190	0.3062560237
191	0.3039482267
192	0.302297613
193	0.3004255572
194	0.2986097747
195	0.2968860344
196	0.2948989524
197	0.2927258409
198	0.290774795
199	0.2885686913
200	0.2866462188
201	0.2849975726
202	0.283371324
203	0.2820063068
204	0.2799540116
205	0.2781234597
206	0.2764240128
207	0.2748949553
208	0.2730769368
209	0.2716629412
210	0.2700035383
211	0.268365748
212	0.2671359716
213	0.2657742553
214	0.2641440794
215	0.2625261657
216	0.2612233387
217	0.259608247
218	0.2580493303
219	0.2565496643
220	0.2548831812
221	0.2534021438
222	0.2516981906
223	0.2504745527
224	0.2489267505
225	0.2473280369
226	0.2460408953
227	0.244502722
228	0.2429352469
229	0.2414006302
230	0.2402941465
231	0.2389414257
232	0.2377374114
233	0.2365028885
234	0.235233349
235	0.2340819919
236	0.2326702954
237	0.2312737905
238	0.2297807721
239	0.2282660347
240	0.2271243881
241	0.2259331661
242	0.2246454752
243	0.2231120936
244	0.2219543496
245	0.2209797496
246	0.2195960553
247	0.2185292541
248	0.217003927
249	0.2158114232
250	0.2146159815
251	0.2134724391
252	0.212238082
253	0.2108414069
254	0.2098999239
255	0.2088536099
256	0.207661376
257	0.2067044285
258	0.2054249843
259	0.2043995565
260	0.2031862705
261	0.2022957945
262	0.2014258175
263	0.2003710709
264	0.1994106155
265	0.1985190331
266	0.1974987499
267	0.1964230764
268	0.1953336639
269	0.1944028031
270	0.193206748
271	0.1922167757
272	0.1909436944
273	0.190165721
274	0.1893806128
275	0.1884280721
276	0.1875750772
277	0.1864864725
278	0.1853916504
279	0.1843551532
280	0.1833705595
281	0.1825681849
282	0.1817660165
283	0.1810003457
284	0.1801599691
285	0.1790816317
286	0.1781999465
287	0.1772450636
288	0.1763422656
289	0.1753990523
290	0.1745795163
291	0.1737715024
292	0.1730261469
293	0.1721615659
294	0.1711322697
295	0.1703250908
296	0.1695532618
297	0.1688922312
298	0.1681046457
299	0.1672000999
